317,0,keep,153
318,0,awak,28
319,0,tell,152
320,0,dress,12
321,0,kill,58
322,0,truth,58
323,0,mai,62
324,0,vari,14
325,0,ship,20
326,0,bodi,59
327,0,safe,18
328,0,shore,16
329,0,voic,49
330,0,miss,35
331,0,littl,169
332,0,soon,12
333,0,buri,30
334,0,past,40
335,0,plai,93
336,0,outsid,54
337,0,full,18
338,0,mind,170
339,0,trick,16
340,0,listen,60
341,0,scream,33
342,0,sound,86
343,0,same,89
344,0,gone,57
345,0,watch,116
346,0,disappear,27
347,0,left,151
348,0,ghost,28
349,0,torn,8
350,0,meet,22
351,0,again,147
352,0,pleas,44
353,0,hang,31
354,0,asleep,16
355,0,meant,36
356,0,spent,4
357,0,build,17
358,0,bottom,4
359,0,pit,6
360,0,top,25
361,0,pack,36
362,0,bag,14
363,0,academi,2
364,0,rain,53
365,0,check,22
366,0,ever,157
367,0,town,36
368,0,after,22
369,0,citi,35
370,0,begin,48
371,0,isn,16
372,0,bit,34
373,0,bigger,20
374,0,understand,50
375,0,who,206
376,0,fell,21
377,0,sell,12
378,0,path,4
379,0,heaven,35
380,0,through,144
381,0,mile,40
382,0,cloud,14
383,0,hell,71
384,0,turn,104
385,0,rag,2
386,0,commod,2
387,0,road,50
388,0,doesn,42
389,0,slowli,20
390,0,ash,4
391,0,robert,2
392,0,quick,6
393,0,room,52
394,0,plan,14
395,0,cigarett,12
396,0,mouth,38
397,0,cowboi,2
398,0,kid,32
399,0,six,12
400,0,shooter,2
401,0,gun,68
402,0,dad,2
403,0,closet,4
404,0,hidden,2
405,0,box,14
406,0,fun,33
407,0,other,81
408,0,pump,14
409,0,kick,28
410,0,better,188
411,0,outrun,6
412,0,faster,16
413,0,daddi,10
414,0,work,87
415,0,long,91
416,0,late,60
417,0,bring,60
418,0,surpris,8
419,0,dinner,4
420,0,kitchen,8
421,0,slight,4
422,0,pull,42
423,0,trigger,2
424,0,hair,34
425,0,lost,86
426,0,wit,2
427,0,whistl,4
428,0,becaus,102
429,0,blame,19
430,0,add,14
431,0,own,107
432,0,sick,34
433,0,pride,6
434,0,repeat,64
435,0,sail,12
436,0,should,92
437,0,cry,58
438,0,help,70
439,0,differ,28
440,0,breed,2
441,0,roar,2
442,0,door,42
443,0,drown,17
444,0,thei,587
445,0,choru,260
446,0,gold,28
447,0,ceil,10
448,0,ain,112
449,0,blind,53
450,0,matter,52
451,0,befor,206
452,0,steal,38
453,0,doubt,22
454,0,guitar,15
455,0,solo,8
456,0,cover,20
457,0,barb,2
458,0,wire,6
459,0,fenc,6
460,0,strong,30
461,0,lightcom,2
462,0,car,49
463,0,ride,49
464,0,dark,101
465,0,grow,57
466,0,horizon,3
467,0,glow,29
468,0,light,139
469,0,follow,17
470,0,neon,3
471,0,sign,17
472,0,milki,3
473,0,skylin,5
474,0,church,7
475,0,wrap,19
476,0,twilight,11
477,0,regret,18
478,0,reliv,2
479,0,darkest,12
480,0,moment,74
481,0,ghoul,4
482,0,demon,10
483,0,pound,4
484,0,flesh,6
485,0,issu,6
486,0,dawn,30
487,0,fool,34
488,0,behind,58
489,0,drag,12
490,0,hors,30
491,0,pastur,2
492,0,such,38
493,0,mourn,4
494,0,gonna,187
495,0,ground,52
496,0,shake,132
497,0,ooh,170
498,0,whoa,88
499,0,danc,107
500,0,devil,38
501,0,graceless,2
502,0,heart,367
503,0,restart,2
504,0,tri,43
505,0,half,20
506,0,chanc,34
507,0,ani,16
508,0,final,28
509,0,mess,22
510,0,damn,18
511,0,readi,38
512,0,suffer,8
513,0,shot,8
514,0,throat,4
515,0,alabama,6
516,0,arkansa,4
517,0,holi,10
518,0,molei,2
519,0,appl,4
520,0,man,116
521,0,nothing,4
522,0,hot,14
523,0,pumpkin,2
524,0,pie,4
525,0,chocol,2
526,0,candi,6
527,0,jesu,32
528,0,christ,6
529,0,wherev,18
530,0,mommi,2
531,0,park,13
532,0,jungl,2
533,0,moat,4
534,0,boat,12
535,0,alleywai,4
536,0,pai,39
537,0,phone,24
538,0,call,165
539,0,everywher,8
540,0,laugh,28
541,0,until,70
542,0,barefoot,2
543,0,summer,33
544,0,sweeter,12
545,0,street,54
546,0,free,40
547,0,onli,219
548,0,geez,2
549,0,jade,2
550,0,alexand,2
551,0,window,22
552,0,sure,30
553,0,came,43
554,0,jump,40
555,0,concret,4
556,0,nearli,4
557,0,broke,12
558,0,ass,2
559,0,place,126
560,0,rush,26
561,0,hospit,2
562,0,about,139
563,0,while,58
564,0,sit,24
565,0,backseat,2
566,0,smoke,14
567,0,last,56
568,0,deep,36
569,0,deepli,2
570,0,alon,164
571,0,succe,2
572,0,tire,21
573,0,stuck,22
574,0,revers,2
575,0,stream,12
576,0,face,154
577,0,lose,64
578,0,replac,10
579,0,wast,32
580,0,wors,16
581,0,guid,12
582,0,ignit,8
583,0,bone,24
584,0,fix,28
585,0,abov,22
586,0,below,20
587,0,worth,32
588,0,cannot,26
589,0,learn,28
590,0,mistak,18
591,0,rule,18
592,0,sea,34
593,0,morn,32
594,0,sweep,2
595,0,dice,2
596,0,fear,73
597,0,enemi,58
598,0,crowd,18
599,0,sing,139
600,0,king,38
601,0,dead,65
602,0,minut,10
